*{1,1} 02.06 *{1,1} [192.168.255.129] *{1,1} FCT-1011-0-CCS *{1,1} 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: *{1,1}
Support: 179

51 58 63 142 145 324 336 475 495 670 673 692 697 763 768 779 880 883 992 996 1064 1067 1122 1125 1217 1231 1234 1239 1244 1330 1333 1425 1429 1484 1492 1595 1598 1680 1685 1793 1796 1801 1812 1825 1913 1991 3790 3801 4222 4241 4530 4533 4636 4639 4653 4657 4666 4890 4894 5007 5010 5069 5072 5134 5139 5226 5229 5233 5304 5308 5311 5316 5395 5398 5459 5474 5529 5562 5615 5628 5732 5736 5747 5750 5755 5817 5820 5823 5879 5890 5954 5959 6007 6020 6105 6109 6112 6201 6204 6207 6212 6285 6288 6343 6364 6444 6457 6544 6565 6568 6619 6634 6711 6714 6717 6722 6768 6773 6820 6899 7709 7725 10245 10248 10251 10325 10328 10392 10427 10430 10435 10512 10532 10677 10687 11034 11046 11073 11292 11302 11484 11497 11646 11665 11672 11682 11847 11856 12180 12190 12203 13608 13717 13810 13815 13872 13885 14040 14051 14330 15184 17730 17859 18023 18160 19064 21063 21231 21532 21555 21778 21790 21842 21853 21856 21861 21865 22305 22464 
001234 02.06 14:23:05.569 [192.168.255.129] d9 FCT-1011-0-CCS <2019-06-02T06:23:08.295309Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
001239 02.06 14:23:05.589 [192.168.255.129] de FCT-1011-0-CCS <2019-06-02T06:23:08.321008Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 37
001244 02.06 14:23:05.772 [192.168.255.129] e3 FCT-1011-0-CCS <2019-06-02T06:23:08.501597Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 102
001330 02.06 14:23:06.426 [192.168.255.129] 14 FCT-1011-0-CCS <2019-06-02T06:23:09.165417Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
001333 02.06 14:23:06.527 [192.168.255.129] 17 FCT-1011-0-CCS <2019-06-02T06:23:09.249233Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
001425 02.06 14:23:07.443 [192.168.255.129] 44 FCT-1011-0-CCS <2019-06-02T06:23:10.165176Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
001429 02.06 14:23:07.523 [192.168.255.129] 47 FCT-1011-0-CCS <2019-06-02T06:23:10.249136Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
001484 02.06 14:23:08.440 [192.168.255.129] 63 FCT-1011-0-CCS <2019-06-02T06:23:11.163371Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
001492 02.06 14:23:08.522 [192.168.255.129] 69 FCT-1011-0-CCS <2019-06-02T06:23:11.247236Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
001595 02.06 14:23:09.444 [192.168.255.129] a8 FCT-1011-0-CCS <2019-06-02T06:23:12.183427Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
